title,description,content,url,published_date,source,source_url,query,language,platform,date,text,file_source,type,post_id,image_url,domain,country,retweets,likes,user_location,comments,user_display_name,user_name,user_avatar,sentiment,reply_count,quote_count,view_count,is_reply,is_retweet,is_quote,sentiment_label,sentiment_score
"UAE President exchanges Eid Al Fitr greetings with leaders of brotherly nations, Grand Imam of Al Azhar",,,https://news.google.com/articles/CBMi5gFBVV95cUxPMU9pSVBIdnZOX0V2TWVWb181MGN0Mmw5cjRGTzg3RHJkWWhRenBXcy1YaXBWY3pKYUFGRTB4Z1dWbDVwZUVrbmR1TklVdkxyQjJnSUN6NURhX2dZMHpTQzZfLVBTc3FTWVZSWGFIZ2xVQ2xYRmdnRnA4RW94VkhkcDJvU0ZfWmtSQUVuMzBoZUxQVXhyVTFfRlpuS0YtY1Y3eEVnaDh1Vm1WWDM4SWRobWhMb2lkWW92UHJ2cjFMa3d4ajVyMGY4NWVYQzR3ZGZ0X0ZTVjdDR09fSmR3a0NxR0dCNnpNUQ,,News,,Tamim bin Hamad Al Thani,,MSN,2025-04-01,"UAE President exchanges Eid Al Fitr greetings with leaders of brotherly nations, Grand Imam of Al Azhar",news,article,CBMi5gFBVV95cUxPMU9pSVBIdnZOX0V2TWVWb181MGN0Mmw5cjRGTzg3RHJkWWhRenBXcy1YaXBWY3pKYUFGRTB4Z1dWbDVwZUVrbmR1TklVdkxyQjJnSUN6NURhX2dZMHpTQzZfLVBTc3FTWVZSWGFIZ2xVQ2xYRmdnRnA4RW94VkhkcDJvU0ZfWmtSQUVuMzBoZUxQVXhyVTFfRlpuS0YtY1Y3eEVnaDh1Vm1WWDM4SWRobWhMb2lkWW92UHJ2cjFMa3d4ajVyMGY4NWVYQzR3ZGZ0X0ZTVjdDR09fSmR3a0NxR0dCNnpNUQ,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTgp-6w1L-yTel_zbYyC_FdhWFI7T8LiKxNsZFfH272iiG6ZvFXFxzTFyqH7BWNLjIOIw,www.msn.com,us,3,13,,8,,news.google.com,,,,,,,,,positive,0.9977624416351318
Duda allegedly received untaxed alcohol gifted by ex-Czech president,,,https://news.google.com/articles/CBMiuwFBVV95cUxPZFlKTlg1aHlTNFk0bHFWaWREMWNWX2NSdEt1Y3ExUnBvNHhJOXc5bFdIZWFHRnhSZ2lxWldHWDl3Z19iRUZqdGxILWROV2ZvS19ZcFA1QW5zNjdPNUNIWlk5aEN0S3c2blZrbnhzN2hvWTVsMWh3aHd6SEdYeHY1ZmEtVXc5MWZWdEJKMG5VTS1LenZwRzBYRTNqTFEzbktHazdEQXFWdlZhdXd5QmxhdFpiYnFFZ2JUVGs0,,News,,Tamim bin Hamad Al Thani,,TVP World,2025-04-01,Duda allegedly received untaxed alcohol gifted by ex-Czech president,news,article,CBMiuwFBVV95cUxPZFlKTlg1aHlTNFk0bHFWaWREMWNWX2NSdEt1Y3ExUnBvNHhJOXc5bFdIZWFHRnhSZ2lxWldHWDl3Z19iRUZqdGxILWROV2ZvS19ZcFA1QW5zNjdPNUNIWlk5aEN0S3c2blZrbnhzN2hvWTVsMWh3aHd6SEdYeHY1ZmEtVXc5MWZWdEJKMG5VTS1LenZwRzBYRTNqTFEzbktHazdEQXFWdlZhdXd5QmxhdFpiYnFFZ2JUVGs0,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcR13klGTlgHh3DBF2_EpfIQ_nJrT6bxxthnp7vD25a-d7fycdG_BAwxVyMhaXW8c4Yalw,tvpworld.com,us,5,4,,3,,news.google.com,,,,,,,,,negative,0.9874525666236877
DRC conflict: Inside Rwanda-Belgium fallout,,,https://news.google.com/articles/CBMilgFBVV95cUxNRVFxWC1rSXU1T0RsQ3JWamJqOUZ3NjY3QldxZTNjRXptZHBBc2oycUV5YVByY1cwakxlNmgtcjBoWEwyX0VEVmtBUzJMUzd2ZWNJaDhXLWx5TnM4TWhlQUdwSms0VFc5cTFNdlEzTURSNVpBOUZGaVNERk9FUmstUkdjLXliWElDZjFoaUs4cjl6WUJ1Q2c,,News,,Tamim bin Hamad Al Thani,,Nation,2025-04-01,DRC conflict: Inside Rwanda-Belgium fallout,news,article,CBMilgFBVV95cUxNRVFxWC1rSXU1T0RsQ3JWamJqOUZ3NjY3QldxZTNjRXptZHBBc2oycUV5YVByY1cwakxlNmgtcjBoWEwyX0VEVmtBUzJMUzd2ZWNJaDhXLWx5TnM4TWhlQUdwSms0VFc5cTFNdlEzTURSNVpBOUZGaVNERk9FUmstUkdjLXliWElDZjFoaUs4cjl6WUJ1Q2c,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcStFdVPRVBHerslymB5RzR019iRMSI5as774FREIISR3HWcKKZ_XCSomiIJCiR6uVkiCw,nation.africa,unknown,7,3,,12,,news.google.com,,,,,,,,,negative,0.9773458242416382
Middle East Business: UAE reaches 26 trade deals under economic partnership initiative,,,https://news.google.com/articles/CBMiU0FVX3lxTE9uTWRqenFWNTRxby1OQ1Nlby1nVm8xUzQ0cm51cVFZdDBmMC1lRkJqVUNPN2pmaE9ORUtxUTlHS0RlaV9MX1RBaEpkV2lfZ0h0RWpF,,News,,Tamim bin Hamad Al Thani,,Gulf Daily News,2025-03-31,Middle East Business: UAE reaches 26 trade deals under economic partnership initiative,news,article,CBMiU0FVX3lxTE9uTWRqenFWNTRxby1OQ1Nlby1nVm8xUzQ0cm51cVFZdDBmMC1lRkJqVUNPN2pmaE9ORUtxUTlHS0RlaV9MX1RBaEpkV2lfZ0h0RWpF,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcR8bARGxf-hrVnNCdj-V1eNn_qW0eyZrHLL3aS9pCdMiSDhVZPGW-lb8jSXhhUCSbWQTg,www.gdnonline.com,us,4,14,,7,,news.google.com,,,,,,,,,positive,0.9931207299232483
HH the Amir Sword's Arabian camel racing festival kicks off on Tuesday,,,https://news.google.com/articles/CBMiuwFBVV95cUxNNVVHd3E4V2Q1YzhjS0N0dGdmZGlnNHZiOW9yckJuaFc5WFlYdnN3LUVMaEVNUlh0OWZXRU8xWW9EY0dGZ1g4S0tlWFJ5SUNDWi0wRGZjeTJnbHoyUVNVclBCaWZmRUN6ZllCVWUxMmxYSFJSU05WenRHTDJEVFVlSkF6N3BHU2RVYVFaU1ZneHhfMDczQ0RmUVJ4QXJGcmF2R0hHNHg3aUhEdkdpY2JuelJPbXJnbUwwakhZ,,News,,Tamim bin Hamad Al Thani,,MSN,2025-04-01,HH the Amir Sword's Arabian camel racing festival kicks off on Tuesday,news,article,CBMiuwFBVV95cUxNNVVHd3E4V2Q1YzhjS0N0dGdmZGlnNHZiOW9yckJuaFc5WFlYdnN3LUVMaEVNUlh0OWZXRU8xWW9EY0dGZ1g4S0tlWFJ5SUNDWi0wRGZjeTJnbHoyUVNVclBCaWZmRUN6ZllCVWUxMmxYSFJSU05WenRHTDJEVFVlSkF6N3BHU2RVYVFaU1ZneHhfMDczQ0RmUVJ4QXJGcmF2R0hHNHg3aUhEdkdpY2JuelJPbXJnbUwwakhZ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRURtlcw7iNRD7iyDZ96zQqB_PgZJ0TF-LnCpMj4WolzcdfRKGqlQ3_ZaYcK5e5I_PdOQ,www.msn.com,us,4,7,,11,,news.google.com,,,,,,,,,positive,0.994541347026825
1 Month To GO! The Countdown To Yas Island’s Most Sensational Music Festival Begins!,,,https://news.google.com/articles/CBMitAFBVV95cUxPSjlsNVRlR2J6R3pDWGJNalFkMnJQYS03SEdibzktNXZSaENjMHRaaWRReGpCSGNIV2VkN051RzRQUGh5bGplT0lYei14WFppVkJDNlJrWU54dE1zT1p4XzVSRnk1dHkweUp0WFA5Tzk2LU1HU1AzcFdIRVo5UHdDTFlBMkxsb3hyNjFCMGExeDc2bnhiS3ktbzFZcE5MUndiLXZVbHM0b2pwYXZ5NWRxQmZjZjk,,News,,Sheikh Tamim,,lovin.co,2025-04-01,1 Month To GO! The Countdown To Yas Island’s Most Sensational Music Festival Begins!,news,article,CBMitAFBVV95cUxPSjlsNVRlR2J6R3pDWGJNalFkMnJQYS03SEdibzktNXZSaENjMHRaaWRReGpCSGNIV2VkN051RzRQUGh5bGplT0lYei14WFppVkJDNlJrWU54dE1zT1p4XzVSRnk1dHkweUp0WFA5Tzk2LU1HU1AzcFdIRVo5UHdDTFlBMkxsb3hyNjFCMGExeDc2bnhiS3ktbzFZcE5MUndiLXZVbHM0b2pwYXZ5NWRxQmZjZjk,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTXL2v1qlqOoPSqP-EgsD2axe1ZvIzZt3OIJ1xPOKbAfBow7Z5L0zTThI0w2sye7d2fEw,lovin.co,unknown,5,6,,7,,news.google.com,,,,,,,,,positive,0.9995416402816772
AGSIW | Gulf Mediation in the Ukraine Crisis,,,https://news.google.com/articles/CBMiZkFVX3lxTE5XZmZpb1hRbjAyNlYtU1hzc2J5ZFJHUUhxLW1ITzJQX1lpMm95Y1A4dVZqOWxNaUYwNkpUQ1hma2NyUDE1djIwUVdlVy1DSmxYOHotcjFHeTZsQzIyV19ORDB5SnYwQQ,,News,,Qatar Emir,,Arab Gulf States Institute in Washington,2025-04-01,AGSIW | Gulf Mediation in the Ukraine Crisis,news,article,CBMiZkFVX3lxTE5XZmZpb1hRbjAyNlYtU1hzc2J5ZFJHUUhxLW1ITzJQX1lpMm95Y1A4dVZqOWxNaUYwNkpUQ1hma2NyUDE1djIwUVdlVy1DSmxYOHotcjFHeTZsQzIyV19ORDB5SnYwQQ,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSNq-F9qpwVBUIJl1LavCtAw1hL2iwhnQZmWTUwncm6K44aMH1Z8pHgXzt0Y2i7fw3gSw,agsiw.org,us,7,6,,12,,news.google.com,,,,,,,,,negative,0.8655873537063599
Xi Jinping’s ‘Dragon-Elephant tango’ message to President Murmu on India-China relations,,,https://news.google.com/articles/CBMi0AFBVV95cUxPSVpVbUN3a3F4eTZJbVBJX3VrLW5lY3pmQzJhTEZlNEtHRndVZmh5eHRNMFJGLXB1VVg0WERGeTdsTG1LVUxoTFJsc2l4UHhTU090REUzME9TUEZCY0wwWXdmeTRSd0tNa19sbEt4ZmpRTm1YM0VXdmdJc0tMdW11b1IyOEZHN0hTQ015SU1UQjI3YmM1V3FSZ1hiU2hCWDVTUjh1UkZ3VHNjS1MxUWFoVXo3WVpSTjl4b21fbE1aNFN0WG02eVpLY1VmS2h1Vk1l,,News,,Qatar Emir,,MSN,2025-04-01,Xi Jinping’s ‘Dragon-Elephant tango’ message to President Murmu on India-China relations,news,article,CBMi0AFBVV95cUxPSVpVbUN3a3F4eTZJbVBJX3VrLW5lY3pmQzJhTEZlNEtHRndVZmh5eHRNMFJGLXB1VVg0WERGeTdsTG1LVUxoTFJsc2l4UHhTU090REUzME9TUEZCY0wwWXdmeTRSd0tNa19sbEt4ZmpRTm1YM0VXdmdJc0tMdW11b1IyOEZHN0hTQ015SU1UQjI3YmM1V3FSZ1hiU2hCWDVTUjh1UkZ3VHNjS1MxUWFoVXo3WVpSTjl4b21fbE1aNFN0WG02eVpLY1VmS2h1Vk1l,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRN-AvYZqPY7ba65bgz9vRb4XWK1rwE4S4yAp5h8uwp2jaLQyXgmVmMTC27uaTx9K6qOA,www.msn.com,us,6,5,,3,,news.google.com,,,,,,,,,positive,0.9918907880783081
Royal Ascot run on Kind Of Blue’s agenda,,,https://news.google.com/articles/CBMijwFBVV95cUxPeDdwaTJoNFNDTy1TYlVFY0syMi1LVUtWLVV6S2NZWUhLMnI3MXROaDI0My1rZ3JPTUt2Mk8ta0M0TlNsSl91b1ZoRVo4TnFsdE5OVERPU29fSzlsN2czUk5WUEZEM1lPZm5pMmxJQzh3RGtNWC1TYWdsT1Z6M3drZTVUeTZUZzhFMHZXSDdmWQ,,News,,Qatar Emir,,The Bury Times,2025-04-01,Royal Ascot run on Kind Of Blue’s agenda,news,article,CBMijwFBVV95cUxPeDdwaTJoNFNDTy1TYlVFY0syMi1LVUtWLVV6S2NZWUhLMnI3MXROaDI0My1rZ3JPTUt2Mk8ta0M0TlNsSl91b1ZoRVo4TnFsdE5OVERPU29fSzlsN2czUk5WUEZEM1lPZm5pMmxJQzh3RGtNWC1TYWdsT1Z6M3drZTVUeTZUZzhFMHZXSDdmWQ,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTFcDx6Udj5eHo6ffsYCtuWHADfpe-hOU3sV18kd8N-MRn5Y_BN8HmRuz5s5C1OC6F9UA,www.burytimes.co.uk,uk,8,14,,6,,news.google.com,,,,,,,,,negative,0.8603258728981018
Survivor rescued from rubble 91 hours after Myanmar earthquake,,,https://news.google.com/articles/CBMirwFBVV95cUxPTmRISE00bWpralU0VzVFUGFXRXc5dWtOcUJTMkZIWnV2YTB4d2h3ZWNsTVY5ZGxDbFZWbWpiNVpVNXFVdnRFQzZ0STFHQ0Z2bVRDWC1aU2E3X2pCVVVjR2poSUtYOUdTNEhNeS1sLU1SNGtlTUJXZlZ4dmdhWVdfZlBCWTVzbHBPalF3eFBDMGgtREFJdlg1M0phNkdHdnhPY2NYcU1JZU5pbW1kNHQ4,,News,,Qatar ruler,,thenationalnews.com,2025-04-01,Survivor rescued from rubble 91 hours after Myanmar earthquake,news,article,CBMirwFBVV95cUxPTmRISE00bWpralU0VzVFUGFXRXc5dWtOcUJTMkZIWnV2YTB4d2h3ZWNsTVY5ZGxDbFZWbWpiNVpVNXFVdnRFQzZ0STFHQ0Z2bVRDWC1aU2E3X2pCVVVjR2poSUtYOUdTNEhNeS1sLU1SNGtlTUJXZlZ4dmdhWVdfZlBCWTVzbHBPalF3eFBDMGgtREFJdlg1M0phNkdHdnhPY2NYcU1JZU5pbW1kNHQ4,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRC0FLFttNM8Afk9hmGVsKe212xerWbRtdOjZBaLuP8BvG3zaUcSOtPmGSBGjAW_OYD3w,www.thenationalnews.com,us,8,4,,10,,news.google.com,,,,,,,,,positive,0.9429629445075989
