source,platform,type,post_id,date,text,title,url,image_url,domain,country,query,file_source,description,content,published_date,source_url,language,retweets,likes,user_location,comments,sentiment,user_display_name,user_name,user_avatar,reply_count,quote_count,view_count,is_reply,is_retweet,is_quote,sentiment_label,sentiment_score
News,Ynetnews,article,CBMiVkFVX3lxTE42SmN4dTNyMzJFSzQ2Q05XUXhJUlJpa3JMeXRZZUlPcTkyWUNDbUdnNVBRNnRmanI2Ny13bGEtUXBlNktlQk4yeUMzVDFlZ25fMWtwX3FR,2025-04-05,"Israel’s Qatar dilemma: Ally, mediator or enemy?","Israel’s Qatar dilemma: Ally, mediator or enemy?",https://news.google.com/articles/CBMiVkFVX3lxTE42SmN4dTNyMzJFSzQ2Q05XUXhJUlJpa3JMeXRZZUlPcTkyWUNDbUdnNVBRNnRmanI2Ny13bGEtUXBlNktlQk4yeUMzVDFlZ25fMWtwX3FR,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRXVkY7FBRaxX-tnAe3MPVHnl0JmV9qCfxQnmIW7RzdBi1SJInkoPAaresIeUphRticTg,www.ynetnews.com,us,Tamim bin Hamad Al Thani,news,,,,,,4,13,,2,,,news.google.com,,,,,,,,negative,0.991967499256134
News,Paulick Report,article,CBMipwFBVV95cUxNckp6NlpEMl8tbzZqU3JjSW9Fank3Yk03ajY1TE9GanBlbjNWT3hoRGZDVFA2SmJfcHppM1oxUEZyZ05KUk1WWnl2Q1ZsTlBvMUJtWHExOWJNTFdmOFB2QmVudDVFTmlka2ZRNGZBWXUwaUdxbmdCM2RlZTFlQ3AzZmU3QmVkQXl4Q29yNi1nRFJRYllhRWhTc1Bic2RXd2pIT0hyaElmdw,2025-04-05,Hit Show Tops Breeders' Cup Challenge Winners in Dubai,Hit Show Tops Breeders' Cup Challenge Winners in Dubai,https://news.google.com/articles/CBMipwFBVV95cUxNckp6NlpEMl8tbzZqU3JjSW9Fank3Yk03ajY1TE9GanBlbjNWT3hoRGZDVFA2SmJfcHppM1oxUEZyZ05KUk1WWnl2Q1ZsTlBvMUJtWHExOWJNTFdmOFB2QmVudDVFTmlka2ZRNGZBWXUwaUdxbmdCM2RlZTFlQ3AzZmU3QmVkQXl4Q29yNi1nRFJRYllhRWhTc1Bic2RXd2pIT0hyaElmdw,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSV4YfmZlYOVaGX1invk7D4rYR3mqylUAVa-H4JFkvlUdo54WtjRe3SSZXDgESEj3Xgjg,paulickreport.com,us,Tamim bin Hamad Al Thani,news,,,,,,2,4,,10,,,news.google.com,,,,,,,,positive,0.9992340803146362
News,Orthodox Times,article,CBMikgFBVV95cUxNbFZSWHZzQlpmdFdKZHhDUm1VY1o5d3JBcFFTRlQwSDZvclN1U3RuLTZpZTE3VGs2TlNOXzFkU2dwdHBRa0JqamZxcHBUOE5XSzVVSnhJZmNfQUk4YXA0aTRpUTlLNkVPWk54bHI0VHNXZ2JWMkdUaXVMSnh6M3JDMXczTURKVHltaV91ekJvam9Pdw,2025-04-05,Official visit of Patriarch John X of Antioch to Qatar (PHOTOS),Official visit of Patriarch John X of Antioch to Qatar (PHOTOS),https://news.google.com/articles/CBMikgFBVV95cUxNbFZSWHZzQlpmdFdKZHhDUm1VY1o5d3JBcFFTRlQwSDZvclN1U3RuLTZpZTE3VGs2TlNOXzFkU2dwdHBRa0JqamZxcHBUOE5XSzVVSnhJZmNfQUk4YXA0aTRpUTlLNkVPWk54bHI0VHNXZ2JWMkdUaXVMSnh6M3JDMXczTURKVHltaV91ekJvam9Pdw,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSlUlVMGUeuM-PYsAZPe1562sgDh0Zz6JpAoqhIF20AMe7e7-dx8Nut47vMiahUvuUANw,orthodoxtimes.com,us,Tamim bin Hamad Al Thani,news,,,,,,1,3,,5,,,news.google.com,,,,,,,,positive,0.9903209805488586
News,thenationalnews.com,article,CBMiugFBVV95cUxNRjk2c3NrNXEyUU9ZemRpUkFRUnRmaTNqTElSTW9YYWcxSV9Xb0VFaU1pbFQ3Q0VnM2swa3ZqNkZiMHFiaVYyWXdZNktTeHRoVml1Z2ZEY1RFZFM1S2JXc1ZJSlZvd1lWV3NoMmk2dmNRejloaGRVUHNiNXJ0S1NwOFBzam1ENDAxMlZULWt5QnVfZnpoRXRmd2RPb2JLV0lWUUpvcTQxV0FpZXdPUlJLdHkzSXpOSzBlQnc,2025-04-06,A Hit Show at Dubai World Cup for Qatar's Wathnan Racing,A Hit Show at Dubai World Cup for Qatar's Wathnan Racing,https://news.google.com/articles/CBMiugFBVV95cUxNRjk2c3NrNXEyUU9ZemRpUkFRUnRmaTNqTElSTW9YYWcxSV9Xb0VFaU1pbFQ3Q0VnM2swa3ZqNkZiMHFiaVYyWXdZNktTeHRoVml1Z2ZEY1RFZFM1S2JXc1ZJSlZvd1lWV3NoMmk2dmNRejloaGRVUHNiNXJ0S1NwOFBzam1ENDAxMlZULWt5QnVfZnpoRXRmd2RPb2JLV0lWUUpvcTQxV0FpZXdPUlJLdHkzSXpOSzBlQnc,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTBKx6CZU8b0V4Mhm-hFIpyV4wiGjK3ldfY4zVfXnSYK25xOHmYwXEvrjQUfvd3bJ_ZmA,www.thenationalnews.com,us,Tamim bin Hamad Al Thani,news,,,,,,6,14,,3,,,news.google.com,,,,,,,,positive,0.9986044764518738
News,thenationalnews.com,article,CBMi3AFBVV95cUxPRmFQNVJTckdsb1ZUVUh3eUxUbXpGM2ZScTBGVE1jLWZzLW1FZ3ZyWEp3QXlEaDR4VmRDTjZ1QS1wR3FJN2xyeXFrV3oyU2hyNTU5ZDdzQjBaZXZUXzFLNm1GdXNjZS1nVWRtcWU2aHNjZjg2MktyMGMzSTIwTk5QaE1YVUl4WENLLXBYS0dnRzZDRGVCRG82eTJtUjJCQi0tRmR0MHNXbmxwMGVsTURERGZQQUQtUzJlUlpjN3dfQ09fU3RJUWJiOWJhVEw3UlZ5NTZCZmFkYnEwQndY,2025-04-05,Dubai World Cup 2025: Hit Show denies Forever Young to clinch $12 million top prize,Dubai World Cup 2025: Hit Show denies Forever Young to clinch $12 million top prize,https://news.google.com/articles/CBMi3AFBVV95cUxPRmFQNVJTckdsb1ZUVUh3eUxUbXpGM2ZScTBGVE1jLWZzLW1FZ3ZyWEp3QXlEaDR4VmRDTjZ1QS1wR3FJN2xyeXFrV3oyU2hyNTU5ZDdzQjBaZXZUXzFLNm1GdXNjZS1nVWRtcWU2aHNjZjg2MktyMGMzSTIwTk5QaE1YVUl4WENLLXBYS0dnRzZDRGVCRG82eTJtUjJCQi0tRmR0MHNXbmxwMGVsTURERGZQQUQtUzJlUlpjN3dfQ09fU3RJUWJiOWJhVEw3UlZ5NTZCZmFkYnEwQndY,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTBKx6CZU8b0V4Mhm-hFIpyV4wiGjK3ldfY4zVfXnSYK25xOHmYwXEvrjQUfvd3bJ_ZmA,www.thenationalnews.com,us,Tamim bin Hamad Al Thani,news,,,,,,2,7,,9,,,news.google.com,,,,,,,,negative,0.7934427857398987
News,Muslim News Nigeria,article,CBMihAFBVV95cUxOTzRqamtzODZRcTE0QU9NVzB0Mmh5SS1EcVdXMVdRa2Rxa0FCZy1TYUxFMUY2TlotdjdZVzJIVEk4UU5yeTFWNXlXQTNySEQ4OEpwSUpTZnZxQXE1LWg4QS1MZ3FCd3lBTm9QS0ktWHJGcWxrdGRDQzJ6TmhoVGpMSVZ4TlA,2025-04-05,#MNAwards2024: How the winners will emerge,#MNAwards2024: How the winners will emerge,https://news.google.com/articles/CBMihAFBVV95cUxOTzRqamtzODZRcTE0QU9NVzB0Mmh5SS1EcVdXMVdRa2Rxa0FCZy1TYUxFMUY2TlotdjdZVzJIVEk4UU5yeTFWNXlXQTNySEQ4OEpwSUpTZnZxQXE1LWg4QS1MZ3FCd3lBTm9QS0ktWHJGcWxrdGRDQzJ6TmhoVGpMSVZ4TlA,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRLv8QxnI4Ti2XvAtyUZ1Az5dIb0c1YCZpxo7Rwphq2KSKZ9JUU0yDnveUsZLUyEgXipA,muslimnews.com.ng,nigeria,Tamim bin Hamad Al Thani,news,,,,,,4,6,,4,,,news.google.com,,,,,,,,positive,0.9994839429855347
News,Arab News,article,CBMiU0FVX3lxTE9tZjNFbl9aZDFwcWxOSTQ0YVVmcXZCaldmeUI3S1N2NC0xR1AxZnlsakdzaUtyel8xWk1XaEpYY2ljaGpQMUVVbkw0NGdSVWN1b184,2025-04-05,Qatar’s Hit Show wins the Dubai World Cup at Meydan,Qatar’s Hit Show wins the Dubai World Cup at Meydan,https://news.google.com/articles/CBMiU0FVX3lxTE9tZjNFbl9aZDFwcWxOSTQ0YVVmcXZCaldmeUI3S1N2NC0xR1AxZnlsakdzaUtyel8xWk1XaEpYY2ljaGpQMUVVbkw0NGdSVWN1b184,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQS-0I3nGlfIs5g1dyZOyOWD5Xh92o4TvNoeZCLxKSR73GeDooMc4OsTITORW1BCm9kjw,www.arabnews.com,us,Qatar Emir,news,,,,,,5,6,,9,,,news.google.com,,,,,,,,positive,0.9995282888412476
News,Dawn,article,CBMiUEFVX3lxTE9vN0EwcTBQSHJNaV9qUHI5cjhjZGZvd2g2UDdEaTBGbHI0aExZMXRJZHZPVHFjRGZxT2xjQ3pMaGJfcTgxSGgzRkVRTkxqMUdQ,2025-04-06,Palestinians in West Bank protest against ‘terrible war’ in Gaza,Palestinians in West Bank protest against ‘terrible war’ in Gaza,https://news.google.com/articles/CBMiUEFVX3lxTE9vN0EwcTBQSHJNaV9qUHI5cjhjZGZvd2g2UDdEaTBGbHI0aExZMXRJZHZPVHFjRGZxT2xjQ3pMaGJfcTgxSGgzRkVRTkxqMUdQ,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcT876z02lsSllgFwNhkS0oL4JHT7hmCyO2hRt2oOiLVamtoSJNXGpXorwyX1opNCfqgkg,www.dawn.com,us,Qatar Emir,news,,,,,,8,5,,12,,,news.google.com,,,,,,,,negative,0.942264974117279
News,The Real Deal,article,CBMinAFBVV95cUxOdkJFMi0xdEg1b25WZ0thYnN5XzNvNUR5aDhTcGc0SUJEdUhVdF9ENVpkNFRjakRyVVdWR0FKc2lvNC0xSTE3QlN2MEJyWnVRNnhRQkZ1c2llMjZfazBWX2ZuX1AxdzRybkI4NWt0OEJxal9GdmpfM1dpaThhQnExalo4ZVRGZ242SFBnYkFzamRYRFRFQVM2WGUzaXc,2025-04-05,Which homeowners pay the most in NYC property taxes?,Which homeowners pay the most in NYC property taxes?,https://news.google.com/articles/CBMinAFBVV95cUxOdkJFMi0xdEg1b25WZ0thYnN5XzNvNUR5aDhTcGc0SUJEdUhVdF9ENVpkNFRjakRyVVdWR0FKc2lvNC0xSTE3QlN2MEJyWnVRNnhRQkZ1c2llMjZfazBWX2ZuX1AxdzRybkI4NWt0OEJxal9GdmpfM1dpaThhQnExalo4ZVRGZ242SFBnYkFzamRYRFRFQVM2WGUzaXc,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTIFzWPALtGt69VSmCNauqN6tK2VW0d-6Iz8SjtNAHAa3oNeGX8venISk25olFpN2pnbA,therealdeal.com,us,Qatar Emir,news,,,,,,4,14,,10,,,news.google.com,,,,,,,,negative,0.9968692660331726
News,Nation,article,CBMikgFBVV95cUxOcHBSVU1WeG9PRVBjTFVwUEt6YU5nQkZ1SU1NVUVLNTVqUmtDZUVJXzFRWmVSMVEyRERzWmZhVkk2d3ZRUktjNGc3WkhPd3hNeS1WNWZDRS16ZkcwZXpiTzctXzRQeF9qaTIydTh5ZlFYaGNOUWNfVGN6SjJMMTNnekowNE95WlB6SzBtbl94V1F4UQ,2025-04-05,Congo crisis: Violence leaves a trail of trauma,Congo crisis: Violence leaves a trail of trauma,https://news.google.com/articles/CBMikgFBVV95cUxOcHBSVU1WeG9PRVBjTFVwUEt6YU5nQkZ1SU1NVUVLNTVqUmtDZUVJXzFRWmVSMVEyRERzWmZhVkk2d3ZRUktjNGc3WkhPd3hNeS1WNWZDRS16ZkcwZXpiTzctXzRQeF9qaTIydTh5ZlFYaGNOUWNfVGN6SjJMMTNnekowNE95WlB6SzBtbl94V1F4UQ,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQi85eIMfNi7Dsm1-J3uGrSOJg5RDJPwq5RHg3MBai17uXTBeiA0E1t1-3UY3RtJtLGNw,nation.africa,unknown,Qatar Emir,news,,,,,,3,4,,10,,,news.google.com,,,,,,,,negative,0.9944244623184204
